province_name,district_code,district_name,area_name,area_type,gender,work_activity,age_group,count
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,SEEKING WORK,70 - 74,38
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,SEEKING WORK,75 AND ABOVE,59
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,STUDENT,10 AND ABOVE,114470
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,STUDENT,10 - 14,61048
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,STUDENT,15 - 19,40567
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,STUDENT,20 - 24,10423
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,STUDENT,25 - 29,1813
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,STUDENT,30 - 34,348
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,STUDENT,35 - 39,167
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,STUDENT,40 - 44,104
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,STUDENT,45 - 49,0
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,STUDENT,50 - 54,0
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,STUDENT,55 - 59,0
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,STUDENT,60 - 64,0
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,STUDENT,65 - 69,0
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,STUDENT,70 - 74,0
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,STUDENT,75 AND ABOVE,0
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,HOUSEKEEPING,10 AND ABOVE,42994
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,HOUSEKEEPING,10 - 14,1626
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,HOUSEKEEPING,15 - 19,3653
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,HOUSEKEEPING,20 - 24,4719
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,HOUSEKEEPING,25 - 29,3792
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,HOUSEKEEPING,30 - 34,3329
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,HOUSEKEEPING,35 - 39,2865
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,HOUSEKEEPING,40 - 44,2488
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,HOUSEKEEPING,45 - 49,2368
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,HOUSEKEEPING,50 - 54,2653
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,HOUSEKEEPING,55 - 59,2660
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,HOUSEKEEPING,60 - 64,3553
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,HOUSEKEEPING,65 - 69,2964
PUNJAB,041,JHELUM DISTRICT,JHELUM DISTRICT,TOTAL,MALE,HOUSEKEEPING,70 - 74,2568
