province_name,district_code,district_name,area_name,area_type,gender,nationality_status,age_group,count
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,ALL SEXES,TOTAL,18 AND ABOVE,410576
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,ALL SEXES,PAKISTANI,18 AND ABOVE,410430
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,ALL SEXES,NON-PAKISTANI,18 AND ABOVE,146
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,ALL SEXES,TOTAL,18 AND ABOVE,94676
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,ALL SEXES,PAKISTANI,18 AND ABOVE,94296
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,ALL SEXES,NON-PAKISTANI,18 AND ABOVE,380
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,MALE,TOTAL,ALL AGES,510143
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,MALE,PAKISTANI,ALL AGES,509619
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,MALE,NON-PAKISTANI,ALL AGES,524
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,MALE,TOTAL,ALL AGES,419243
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,MALE,PAKISTANI,ALL AGES,419023
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,MALE,NON-PAKISTANI,ALL AGES,220
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,MALE,TOTAL,ALL AGES,90900
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,MALE,PAKISTANI,ALL AGES,90596
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,MALE,NON-PAKISTANI,ALL AGES,304
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,MALE,TOTAL,00 - 04,74871
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,MALE,PAKISTANI,00 - 04,74757
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,MALE,NON-PAKISTANI,00 - 04,114
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,MALE,TOTAL,00 - 04,62301
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,MALE,PAKISTANI,00 - 04,62248
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,MALE,NON-PAKISTANI,00 - 04,53
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,MALE,TOTAL,00 - 04,12570
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,MALE,PAKISTANI,00 - 04,12509
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,MALE,NON-PAKISTANI,00 - 04,61
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,MALE,TOTAL,05 - 09,82177
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,MALE,PAKISTANI,05 - 09,82078
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,MALE,NON-PAKISTANI,05 - 09,99
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,MALE,TOTAL,05 - 09,68623
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,MALE,PAKISTANI,05 - 09,68572
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,MALE,NON-PAKISTANI,05 - 09,51
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,MALE,TOTAL,05 - 09,13554
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,MALE,PAKISTANI,05 - 09,13506
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,MALE,NON-PAKISTANI,05 - 09,48
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,MALE,TOTAL,10 - 14,62183
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,MALE,PAKISTANI,10 - 14,62100
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,MALE,NON-PAKISTANI,10 - 14,83
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,MALE,TOTAL,10 - 14,51676
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,MALE,PAKISTANI,10 - 14,51639
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,MALE,NON-PAKISTANI,10 - 14,37
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,MALE,TOTAL,10 - 14,10507
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,MALE,PAKISTANI,10 - 14,10461
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,MALE,NON-PAKISTANI,10 - 14,46
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,MALE,TOTAL,15 - 19,50260
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,MALE,PAKISTANI,15 - 19,50196
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,MALE,NON-PAKISTANI,15 - 19,64
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,MALE,TOTAL,15 - 19,40853
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,MALE,PAKISTANI,15 - 19,40833
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,MALE,NON-PAKISTANI,15 - 19,20
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,MALE,TOTAL,15 - 19,9407
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,MALE,PAKISTANI,15 - 19,9363
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,MALE,NON-PAKISTANI,15 - 19,44
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,MALE,TOTAL,20 - 24,40717
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,MALE,PAKISTANI,20 - 24,40691
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,MALE,NON-PAKISTANI,20 - 24,26
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,MALE,TOTAL,20 - 24,32948
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,MALE,PAKISTANI,20 - 24,32936
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,MALE,NON-PAKISTANI,20 - 24,12
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,MALE,TOTAL,20 - 24,7769
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,MALE,PAKISTANI,20 - 24,7755
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,MALE,NON-PAKISTANI,20 - 24,14
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,MALE,TOTAL,25 - 29,37577
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,MALE,PAKISTANI,25 - 29,37550
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,MALE,NON-PAKISTANI,25 - 29,27
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,MALE,TOTAL,25 - 29,30553
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,MALE,PAKISTANI,25 - 29,30542
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,MALE,NON-PAKISTANI,25 - 29,11
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,MALE,TOTAL,25 - 29,7024
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,MALE,PAKISTANI,25 - 29,7008
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,MALE,NON-PAKISTANI,25 - 29,16
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,MALE,TOTAL,30 - 34,33691
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,MALE,PAKISTANI,30 - 34,33673
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,MALE,NON-PAKISTANI,30 - 34,18
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,MALE,TOTAL,30 - 34,27142
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,MALE,PAKISTANI,30 - 34,27136
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,RURAL,MALE,NON-PAKISTANI,30 - 34,6
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,MALE,TOTAL,30 - 34,6549
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,MALE,PAKISTANI,30 - 34,6537
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,URBAN,MALE,NON-PAKISTANI,30 - 34,12
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,MALE,TOTAL,35 - 39,32927
SINDH,091,THATTA DISTRICT,THATTA DISTRICT,TOTAL,MALE,PAKISTANI,35 - 39,32906
