province_name,district_code,district_name,area_name,locality_size,locality_count,gender,total_population
BALOCHISTAN,105,KALAT DISTRICT,SURAB TEHSIL,"1,000 - 1,999",34,TRANSGENDER,0
BALOCHISTAN,105,KALAT DISTRICT,SURAB TEHSIL,500 - 999,54,ALL SEXES,38757
BALOCHISTAN,105,KALAT DISTRICT,SURAB TEHSIL,500 - 999,54,MALE,20187
BALOCHISTAN,105,KALAT DISTRICT,SURAB TEHSIL,500 - 999,54,FEMALE,18570
BALOCHISTAN,105,KALAT DISTRICT,SURAB TEHSIL,500 - 999,54,TRANSGENDER,0
BALOCHISTAN,105,KALAT DISTRICT,SURAB TEHSIL,200 - 499,51,ALL SEXES,18539
BALOCHISTAN,105,KALAT DISTRICT,SURAB TEHSIL,200 - 499,51,MALE,9413
BALOCHISTAN,105,KALAT DISTRICT,SURAB TEHSIL,200 - 499,51,FEMALE,9126
BALOCHISTAN,105,KALAT DISTRICT,SURAB TEHSIL,200 - 499,51,TRANSGENDER,0
BALOCHISTAN,105,KALAT DISTRICT,SURAB TEHSIL,LESS THAN 200,40,ALL SEXES,4305
BALOCHISTAN,105,KALAT DISTRICT,SURAB TEHSIL,LESS THAN 200,40,MALE,2269
BALOCHISTAN,105,KALAT DISTRICT,SURAB TEHSIL,LESS THAN 200,40,FEMALE,2036
BALOCHISTAN,105,KALAT DISTRICT,SURAB TEHSIL,LESS THAN 200,40,TRANSGENDER,0
BALOCHISTAN,105,KALAT DISTRICT,SURAB TEHSIL,UN-INHABITED,2,ALL SEXES,0
BALOCHISTAN,105,KALAT DISTRICT,SURAB TEHSIL,UN-INHABITED,2,MALE,0
BALOCHISTAN,105,KALAT DISTRICT,SURAB TEHSIL,UN-INHABITED,2,FEMALE,0
BALOCHISTAN,105,KALAT DISTRICT,SURAB TEHSIL,UN-INHABITED,2,TRANSGENDER,0
