province_name,district_code,district_name,area_name,area_type,household_sizes,number_of_rooms,total_housing_units_by_hh_size,percent_of_total_units_by_hh_size,rooms_per_housing_unit,total_housing_units_by_room_size,percent_of_total_units_by_room_size,persons_per_housing_unit,count
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,6 PERSONS,4,26892,14.39,2.68,23896,12.79,7.67,3241
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,7 PERSONS,4,22479,12.03,2.87,23896,12.79,7.67,3241
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,8 PERSONS,4,16915,9.05,3.07,23896,12.79,7.67,2723
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,9 PERSONS,4,11885,6.36,3.31,23896,12.79,7.67,2224
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,10 PERSONS AND ABOVE,4,27023,14.46,4.13,23896,12.79,7.67,5814
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,1 PERSON,5,3581,1.92,1.96,11139,5.96,8.44,82
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,2 PERSONS,5,12696,6.79,1.99,11139,5.96,8.44,233
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,3 PERSONS,5,16148,8.64,2.13,11139,5.96,8.44,400
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,4 PERSONS,5,22224,11.89,2.32,11139,5.96,8.44,715
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,5 PERSONS,5,27035,14.47,2.52,11139,5.96,8.44,1101
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,6 PERSONS,5,26892,14.39,2.68,11139,5.96,8.44,1408
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,7 PERSONS,5,22479,12.03,2.87,11139,5.96,8.44,1372
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,8 PERSONS,5,16915,9.05,3.07,11139,5.96,8.44,1209
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,9 PERSONS,5,11885,6.36,3.31,11139,5.96,8.44,1048
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,10 PERSONS AND ABOVE,5,27023,14.46,4.13,11139,5.96,8.44,3571
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,1 PERSON,6,3581,1.92,1.96,5972,3.2,9.41,33
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,2 PERSONS,6,12696,6.79,1.99,5972,3.2,9.41,111
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,3 PERSONS,6,16148,8.64,2.13,5972,3.2,9.41,160
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,4 PERSONS,6,22224,11.89,2.32,5972,3.2,9.41,308
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,5 PERSONS,6,27035,14.47,2.52,5972,3.2,9.41,476
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,6 PERSONS,6,26892,14.39,2.68,5972,3.2,9.41,615
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,7 PERSONS,6,22479,12.03,2.87,5972,3.2,9.41,652
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,8 PERSONS,6,16915,9.05,3.07,5972,3.2,9.41,659
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,9 PERSONS,6,11885,6.36,3.31,5972,3.2,9.41,575
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,10 PERSONS AND ABOVE,6,27023,14.46,4.13,5972,3.2,9.41,2383
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,1 PERSON,7,3581,1.92,1.96,2920,1.56,9.55,32
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,2 PERSONS,7,12696,6.79,1.99,2920,1.56,9.55,71
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,3 PERSONS,7,16148,8.64,2.13,2920,1.56,9.55,98
PUNJAB,046,MIANWALI DISTRICT,MIANWALI DISTRICT,RURAL,4 PERSONS,7,22224,11.89,2.32,2920,1.56,9.55,143
