province_name,district_code,district_name,area_name,area_type,gender,religious_affiliation,count
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,RURAL,TRANSGENDER,AHMADI,0
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,RURAL,TRANSGENDER,SCHEDULED CASTES,0
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,RURAL,TRANSGENDER,OTHERS,0
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,URBAN,ALL SEXES,TOTAL,67453
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,URBAN,ALL SEXES,MUSLIM,67310
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,URBAN,ALL SEXES,CHRISTIAN,109
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,URBAN,ALL SEXES,HINDU,23
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,URBAN,ALL SEXES,AHMADI,0
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,URBAN,ALL SEXES,SCHEDULED CASTES,7
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,URBAN,ALL SEXES,OTHERS,4
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,URBAN,MALE,TOTAL,34035
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,URBAN,MALE,MUSLIM,33965
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,URBAN,MALE,CHRISTIAN,53
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,URBAN,MALE,HINDU,12
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,URBAN,MALE,AHMADI,0
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,URBAN,MALE,SCHEDULED CASTES,3
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,URBAN,MALE,OTHERS,2
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,URBAN,FEMALE,TOTAL,33409
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,URBAN,FEMALE,MUSLIM,33336
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,URBAN,FEMALE,CHRISTIAN,56
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,URBAN,FEMALE,HINDU,11
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,URBAN,FEMALE,AHMADI,0
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,URBAN,FEMALE,SCHEDULED CASTES,4
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,URBAN,FEMALE,OTHERS,2
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,URBAN,TRANSGENDER,TOTAL,9
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,URBAN,TRANSGENDER,MUSLIM,9
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,URBAN,TRANSGENDER,CHRISTIAN,0
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,URBAN,TRANSGENDER,HINDU,0
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,URBAN,TRANSGENDER,AHMADI,0
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,URBAN,TRANSGENDER,SCHEDULED CASTES,0
PUNJAB,071,MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,URBAN,TRANSGENDER,OTHERS,0
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,TOTAL,ALL SEXES,TOTAL,2259115
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,TOTAL,ALL SEXES,MUSLIM,2235629
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,TOTAL,ALL SEXES,CHRISTIAN,20537
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,TOTAL,ALL SEXES,HINDU,1413
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,TOTAL,ALL SEXES,AHMADI,1013
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,TOTAL,ALL SEXES,SCHEDULED CASTES,410
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,TOTAL,ALL SEXES,OTHERS,113
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,TOTAL,MALE,TOTAL,1161032
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,TOTAL,MALE,MUSLIM,1149058
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,TOTAL,MALE,CHRISTIAN,10428
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,TOTAL,MALE,HINDU,729
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,TOTAL,MALE,AHMADI,502
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,TOTAL,MALE,SCHEDULED CASTES,255
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,TOTAL,MALE,OTHERS,60
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,TOTAL,FEMALE,TOTAL,1097834
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,TOTAL,FEMALE,MUSLIM,1086325
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,TOTAL,FEMALE,CHRISTIAN,10108
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,TOTAL,FEMALE,HINDU,682
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,TOTAL,FEMALE,AHMADI,511
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,TOTAL,FEMALE,SCHEDULED CASTES,155
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,TOTAL,FEMALE,OTHERS,53
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,TOTAL,TRANSGENDER,TOTAL,249
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,TOTAL,TRANSGENDER,MUSLIM,246
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,TOTAL,TRANSGENDER,CHRISTIAN,1
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,TOTAL,TRANSGENDER,HINDU,2
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,TOTAL,TRANSGENDER,AHMADI,0
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,TOTAL,TRANSGENDER,SCHEDULED CASTES,0
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,TOTAL,TRANSGENDER,OTHERS,0
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,RURAL,ALL SEXES,TOTAL,432114
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,RURAL,ALL SEXES,MUSLIM,427154
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,RURAL,ALL SEXES,CHRISTIAN,4771
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,RURAL,ALL SEXES,HINDU,11
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,RURAL,ALL SEXES,AHMADI,85
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,RURAL,ALL SEXES,SCHEDULED CASTES,84
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,RURAL,ALL SEXES,OTHERS,9
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,RURAL,MALE,TOTAL,224005
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,RURAL,MALE,MUSLIM,221504
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,RURAL,MALE,CHRISTIAN,2405
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,RURAL,MALE,HINDU,7
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,RURAL,MALE,AHMADI,40
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,RURAL,MALE,SCHEDULED CASTES,44
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,RURAL,MALE,OTHERS,5
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,RURAL,FEMALE,TOTAL,208071
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,RURAL,FEMALE,MUSLIM,205613
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,RURAL,FEMALE,CHRISTIAN,2365
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,RURAL,FEMALE,HINDU,4
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,RURAL,FEMALE,AHMADI,45
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,RURAL,FEMALE,SCHEDULED CASTES,40
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,RURAL,FEMALE,OTHERS,4
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,RURAL,TRANSGENDER,TOTAL,38
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,RURAL,TRANSGENDER,MUSLIM,37
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,RURAL,TRANSGENDER,CHRISTIAN,1
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,RURAL,TRANSGENDER,HINDU,0
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,RURAL,TRANSGENDER,AHMADI,0
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,RURAL,TRANSGENDER,SCHEDULED CASTES,0
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,RURAL,TRANSGENDER,OTHERS,0
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,URBAN,ALL SEXES,TOTAL,1827001
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,URBAN,ALL SEXES,MUSLIM,1808475
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,URBAN,ALL SEXES,CHRISTIAN,15766
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,URBAN,ALL SEXES,HINDU,1402
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,URBAN,ALL SEXES,AHMADI,928
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,URBAN,ALL SEXES,SCHEDULED CASTES,326
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,URBAN,ALL SEXES,OTHERS,104
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,URBAN,MALE,TOTAL,937027
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,URBAN,MALE,MUSLIM,927554
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,URBAN,MALE,CHRISTIAN,8023
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,URBAN,MALE,HINDU,722
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,URBAN,MALE,AHMADI,462
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,URBAN,MALE,SCHEDULED CASTES,211
PUNJAB,071,MULTAN DISTRICT,MULTAN CITY TEHSIL,URBAN,MALE,OTHERS,55
