province_name,district_code,district_name,area_name,area_type,gender,household_head_relationship,age_group,count
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,SPOUSE,60 - 64,7242
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,SON/DAUGHTER,60 - 64,33
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,DAUGHTER/SON IN LAW,60 - 64,21
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,GRAND SON/GRAND DAUGHTER,60 - 64,2
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,FATHER/MOTHER,60 - 64,4250
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,BROTHER/SISTER,60 - 64,400
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,OTHER RELATIVE,60 - 64,959
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,NON-RELATIVE,60 - 64,392
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,TOTAL,65 - 69,17601
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,HEAD,65 - 69,9231
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,SPOUSE,65 - 69,3626
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,SON/DAUGHTER,65 - 69,13
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,DAUGHTER/SON IN LAW,65 - 69,16
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,GRAND SON/GRAND DAUGHTER,65 - 69,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,FATHER/MOTHER,65 - 69,3487
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,BROTHER/SISTER,65 - 69,241
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,OTHER RELATIVE,65 - 69,749
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,NON-RELATIVE,65 - 69,238
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,TOTAL,70 - 74,11719
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,HEAD,70 - 74,5640
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,SPOUSE,70 - 74,1855
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,SON/DAUGHTER,70 - 74,6
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,DAUGHTER/SON IN LAW,70 - 74,23
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,GRAND SON/GRAND DAUGHTER,70 - 74,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,FATHER/MOTHER,70 - 74,3171
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,BROTHER/SISTER,70 - 74,148
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,OTHER RELATIVE,70 - 74,698
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,NON-RELATIVE,70 - 74,178
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,TOTAL,75 AND ABOVE,13967
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,HEAD,75 AND ABOVE,5682
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,SPOUSE,75 AND ABOVE,1504
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,SON/DAUGHTER,75 AND ABOVE,4
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,DAUGHTER/SON IN LAW,75 AND ABOVE,55
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,GRAND SON/GRAND DAUGHTER,75 AND ABOVE,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,FATHER/MOTHER,75 AND ABOVE,5253
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,BROTHER/SISTER,75 AND ABOVE,200
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,OTHER RELATIVE,75 AND ABOVE,1065
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,ALL SEXES,NON-RELATIVE,75 AND ABOVE,204
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,TOTAL,ALL AGES,775934
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,HEAD,ALL AGES,233682
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,SPOUSE,ALL AGES,8554
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,SON/DAUGHTER,ALL AGES,439949
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,DAUGHTER/SON IN LAW,ALL AGES,822
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,GRAND SON/GRAND DAUGHTER,ALL AGES,23134
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,FATHER/MOTHER,ALL AGES,3961
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,BROTHER/SISTER,ALL AGES,27833
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,OTHER RELATIVE,ALL AGES,23755
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,NON-RELATIVE,ALL AGES,14244
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,TOTAL,00 - 04,111657
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,HEAD,00 - 04,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,SPOUSE,00 - 04,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,SON/DAUGHTER,00 - 04,93737
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,DAUGHTER/SON IN LAW,00 - 04,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,GRAND SON/GRAND DAUGHTER,00 - 04,10466
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,FATHER/MOTHER,00 - 04,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,BROTHER/SISTER,00 - 04,624
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,OTHER RELATIVE,00 - 04,5487
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,NON-RELATIVE,00 - 04,1343
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,TOTAL,05 - 09,127829
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,HEAD,05 - 09,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,SPOUSE,05 - 09,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,SON/DAUGHTER,05 - 09,111737
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,DAUGHTER/SON IN LAW,05 - 09,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,GRAND SON/GRAND DAUGHTER,05 - 09,7172
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,FATHER/MOTHER,05 - 09,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,BROTHER/SISTER,05 - 09,1441
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,OTHER RELATIVE,05 - 09,5284
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,NON-RELATIVE,05 - 09,2195
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,TOTAL,10 - 14,100260
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,HEAD,10 - 14,57
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,SPOUSE,10 - 14,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,SON/DAUGHTER,10 - 14,88505
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,DAUGHTER/SON IN LAW,10 - 14,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,GRAND SON/GRAND DAUGHTER,10 - 14,3065
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,FATHER/MOTHER,10 - 14,0
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,BROTHER/SISTER,10 - 14,2805
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,OTHER RELATIVE,10 - 14,3326
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,NON-RELATIVE,10 - 14,2502
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,TOTAL,15 - 19,91761
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,HEAD,15 - 19,3383
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,SPOUSE,15 - 19,67
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,SON/DAUGHTER,15 - 19,75982
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,DAUGHTER/SON IN LAW,15 - 19,90
SINDH,078,LARKANA DISTRICT,LARKANA DISTRICT,TOTAL,MALE,GRAND SON/GRAND DAUGHTER,15 - 19,1588
