province_name,district_code,district_name,area_name,area_type,construction_duration,number_of_rooms,total_housing_units_by_duration,percent_of_total_units_by_duration,total_housing_units_by_size,percent_of_total_units_by_size,count
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,URBAN,LESS THAN 5 YEARS,2,2869,16.22,5305,29.98,972
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,URBAN,5-10 YEARS,2,8269,46.74,5305,29.98,2350
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,URBAN,11-50 YEARS,2,5948,33.62,5305,29.98,1776
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,URBAN,OVER 50 YEARS,2,198,1.12,5305,29.98,53
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,URBAN,UNDER CONSTRUCTION,3,409,2.31,2273,12.85,68
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,URBAN,LESS THAN 5 YEARS,3,2869,16.22,2273,12.85,421
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,URBAN,5-10 YEARS,3,8269,46.74,2273,12.85,969
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,URBAN,11-50 YEARS,3,5948,33.62,2273,12.85,802
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,URBAN,OVER 50 YEARS,3,198,1.12,2273,12.85,13
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,URBAN,UNDER CONSTRUCTION,4,409,2.31,1122,6.34,20
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,URBAN,LESS THAN 5 YEARS,4,2869,16.22,1122,6.34,154
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,URBAN,5-10 YEARS,4,8269,46.74,1122,6.34,528
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,URBAN,11-50 YEARS,4,5948,33.62,1122,6.34,403
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,URBAN,OVER 50 YEARS,4,198,1.12,1122,6.34,17
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,URBAN,UNDER CONSTRUCTION,5,409,2.31,304,1.72,3
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,URBAN,LESS THAN 5 YEARS,5,2869,16.22,304,1.72,38
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,URBAN,5-10 YEARS,5,8269,46.74,304,1.72,114
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,URBAN,11-50 YEARS,5,5948,33.62,304,1.72,145
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,URBAN,OVER 50 YEARS,5,198,1.12,304,1.72,4
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,URBAN,UNDER CONSTRUCTION,6,409,2.31,169,0.96,5
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,URBAN,LESS THAN 5 YEARS,6,2869,16.22,169,0.96,21
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,URBAN,5-10 YEARS,6,8269,46.74,169,0.96,49
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,URBAN,11-50 YEARS,6,5948,33.62,169,0.96,88
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,URBAN,OVER 50 YEARS,6,198,1.12,169,0.96,6
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,URBAN,UNDER CONSTRUCTION,7,409,2.31,167,0.94,15
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,URBAN,LESS THAN 5 YEARS,7,2869,16.22,167,0.94,39
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,URBAN,5-10 YEARS,7,8269,46.74,167,0.94,55
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,URBAN,11-50 YEARS,7,5948,33.62,167,0.94,55
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,URBAN,OVER 50 YEARS,7,198,1.12,167,0.94,3
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,URBAN,UNDER CONSTRUCTION,8,409,2.31,41,0.23,1
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,URBAN,LESS THAN 5 YEARS,8,2869,16.22,41,0.23,6
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,URBAN,5-10 YEARS,8,8269,46.74,41,0.23,18
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,URBAN,11-50 YEARS,8,5948,33.62,41,0.23,16
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,URBAN,OVER 50 YEARS,8,198,1.12,41,0.23,0
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,URBAN,UNDER CONSTRUCTION,9 AND MORE,409,2.31,43,0.24,1
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,URBAN,LESS THAN 5 YEARS,9 AND MORE,2869,16.22,43,0.24,5
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,URBAN,5-10 YEARS,9 AND MORE,8269,46.74,43,0.24,19
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,URBAN,11-50 YEARS,9 AND MORE,5948,33.62,43,0.24,18
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,URBAN,OVER 50 YEARS,9 AND MORE,198,1.12,43,0.24,0
