province_name,district_code,district_name,area_name,area_type,household_sizes,number_of_rooms,total_housing_units_by_hh_size,percent_of_total_units_by_hh_size,rooms_per_housing_unit,total_housing_units_by_room_size,percent_of_total_units_by_room_size,persons_per_housing_unit,count
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,10 PERSONS AND ABOVE,4,16610,14.59,3.81,14259,12.52,7.62,3436
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,1 PERSON,5,2129,1.87,1.98,6204,5.45,8.34,51
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,2 PERSONS,5,5481,4.81,2.02,6204,5.45,8.34,107
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,3 PERSONS,5,8215,7.21,2.19,6204,5.45,8.34,228
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,4 PERSONS,5,12621,11.08,2.35,6204,5.45,8.34,463
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,5 PERSONS,5,17576,15.43,2.47,6204,5.45,8.34,741
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,6 PERSONS,5,18663,16.39,2.56,6204,5.45,8.34,790
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,7 PERSONS,5,15064,13.23,2.68,6204,5.45,8.34,771
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,8 PERSONS,5,10523,9.24,2.85,6204,5.45,8.34,655
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,9 PERSONS,5,7000,6.15,3.06,6204,5.45,8.34,490
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,10 PERSONS AND ABOVE,5,16610,14.59,3.81,6204,5.45,8.34,1908
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,1 PERSON,6,2129,1.87,1.98,3629,3.19,9.17,34
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,2 PERSONS,6,5481,4.81,2.02,3629,3.19,9.17,58
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,3 PERSONS,6,8215,7.21,2.19,3629,3.19,9.17,113
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,4 PERSONS,6,12621,11.08,2.35,3629,3.19,9.17,201
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,5 PERSONS,6,17576,15.43,2.47,3629,3.19,9.17,344
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,6 PERSONS,6,18663,16.39,2.56,3629,3.19,9.17,436
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,7 PERSONS,6,15064,13.23,2.68,3629,3.19,9.17,402
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,8 PERSONS,6,10523,9.24,2.85,3629,3.19,9.17,361
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,9 PERSONS,6,7000,6.15,3.06,3629,3.19,9.17,297
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,10 PERSONS AND ABOVE,6,16610,14.59,3.81,3629,3.19,9.17,1383
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,1 PERSON,7,2129,1.87,1.98,1435,1.26,9.32,9
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,2 PERSONS,7,5481,4.81,2.02,1435,1.26,9.32,32
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,3 PERSONS,7,8215,7.21,2.19,1435,1.26,9.32,45
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,4 PERSONS,7,12621,11.08,2.35,1435,1.26,9.32,86
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,5 PERSONS,7,17576,15.43,2.47,1435,1.26,9.32,137
