province_name,district_code,district_name,area_name,area_type,gender,total_population,literacy_ratio,literacy_status,count
PUNJAB,074,VEHARI DISTRICT,MAILSI TEHSIL,URBAN,FEMALE,47431,61.73,TOTAL LITERATE,29279
PUNJAB,074,VEHARI DISTRICT,MAILSI TEHSIL,URBAN,FEMALE,47431,61.73,FORMAL LITERATE,28601
PUNJAB,074,VEHARI DISTRICT,MAILSI TEHSIL,URBAN,FEMALE,47431,61.73,INFORMAL LITERATE,678
PUNJAB,074,VEHARI DISTRICT,MAILSI TEHSIL,URBAN,TRANSGENDER,29,58.62,ILLITERATE,12
PUNJAB,074,VEHARI DISTRICT,MAILSI TEHSIL,URBAN,TRANSGENDER,29,58.62,TOTAL LITERATE,17
PUNJAB,074,VEHARI DISTRICT,MAILSI TEHSIL,URBAN,TRANSGENDER,29,58.62,FORMAL LITERATE,16
PUNJAB,074,VEHARI DISTRICT,MAILSI TEHSIL,URBAN,TRANSGENDER,29,58.62,INFORMAL LITERATE,1
PUNJAB,074,VEHARI DISTRICT,VEHARI TEHSIL,TOTAL,ALL SEXES,669819,54.93,ILLITERATE,301879
PUNJAB,074,VEHARI DISTRICT,VEHARI TEHSIL,TOTAL,ALL SEXES,669819,54.93,TOTAL LITERATE,367940
PUNJAB,074,VEHARI DISTRICT,VEHARI TEHSIL,TOTAL,ALL SEXES,669819,54.93,FORMAL LITERATE,364513
PUNJAB,074,VEHARI DISTRICT,VEHARI TEHSIL,TOTAL,ALL SEXES,669819,54.93,INFORMAL LITERATE,3427
PUNJAB,074,VEHARI DISTRICT,VEHARI TEHSIL,TOTAL,MALE,337621,64.74,ILLITERATE,119047
PUNJAB,074,VEHARI DISTRICT,VEHARI TEHSIL,TOTAL,MALE,337621,64.74,TOTAL LITERATE,218574
PUNJAB,074,VEHARI DISTRICT,VEHARI TEHSIL,TOTAL,MALE,337621,64.74,FORMAL LITERATE,217074
PUNJAB,074,VEHARI DISTRICT,VEHARI TEHSIL,TOTAL,MALE,337621,64.74,INFORMAL LITERATE,1500
PUNJAB,074,VEHARI DISTRICT,VEHARI TEHSIL,TOTAL,FEMALE,332110,44.97,ILLITERATE,182774
PUNJAB,074,VEHARI DISTRICT,VEHARI TEHSIL,TOTAL,FEMALE,332110,44.97,TOTAL LITERATE,149336
PUNJAB,074,VEHARI DISTRICT,VEHARI TEHSIL,TOTAL,FEMALE,332110,44.97,FORMAL LITERATE,147412
PUNJAB,074,VEHARI DISTRICT,VEHARI TEHSIL,TOTAL,FEMALE,332110,44.97,INFORMAL LITERATE,1924
PUNJAB,074,VEHARI DISTRICT,VEHARI TEHSIL,TOTAL,TRANSGENDER,88,34.09,ILLITERATE,58
PUNJAB,074,VEHARI DISTRICT,VEHARI TEHSIL,TOTAL,TRANSGENDER,88,34.09,TOTAL LITERATE,30
PUNJAB,074,VEHARI DISTRICT,VEHARI TEHSIL,TOTAL,TRANSGENDER,88,34.09,FORMAL LITERATE,27
PUNJAB,074,VEHARI DISTRICT,VEHARI TEHSIL,TOTAL,TRANSGENDER,88,34.09,INFORMAL LITERATE,3
PUNJAB,074,VEHARI DISTRICT,VEHARI TEHSIL,RURAL,ALL SEXES,560497,50.83,ILLITERATE,275608
PUNJAB,074,VEHARI DISTRICT,VEHARI TEHSIL,RURAL,ALL SEXES,560497,50.83,TOTAL LITERATE,284889
PUNJAB,074,VEHARI DISTRICT,VEHARI TEHSIL,RURAL,ALL SEXES,560497,50.83,FORMAL LITERATE,281918
PUNJAB,074,VEHARI DISTRICT,VEHARI TEHSIL,RURAL,ALL SEXES,560497,50.83,INFORMAL LITERATE,2971
PUNJAB,074,VEHARI DISTRICT,VEHARI TEHSIL,RURAL,MALE,282395,61.65,ILLITERATE,108291
