province_name,district_code,district_name,area_name,area_type,gender,cnic_status,age_group,count
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,RURAL,ALL SEXES,TOTAL POPULATION,18 AND ABOVE,1306205
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,RURAL,ALL SEXES,CNIC OBTAINED,18 AND ABOVE,1012849
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,RURAL,ALL SEXES,CNIC NOT OBTAINED,18 AND ABOVE,293356
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,RURAL,MALE,TOTAL POPULATION,18 AND ABOVE,646357
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,RURAL,MALE,CNIC OBTAINED,18 AND ABOVE,565325
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,RURAL,MALE,CNIC NOT OBTAINED,18 AND ABOVE,81032
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,RURAL,FEMALE,TOTAL POPULATION,18 AND ABOVE,659656
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,RURAL,FEMALE,CNIC OBTAINED,18 AND ABOVE,447408
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,RURAL,FEMALE,CNIC NOT OBTAINED,18 AND ABOVE,212248
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,RURAL,TRANSGENDER,TOTAL POPULATION,18 AND ABOVE,192
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,RURAL,TRANSGENDER,CNIC OBTAINED,18 AND ABOVE,116
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,RURAL,TRANSGENDER,CNIC NOT OBTAINED,18 AND ABOVE,76
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,RURAL,ALL SEXES,TOTAL POPULATION,18 - 19,90946
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,RURAL,ALL SEXES,CNIC OBTAINED,18 - 19,29734
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,RURAL,ALL SEXES,CNIC NOT OBTAINED,18 - 19,61212
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,RURAL,MALE,TOTAL POPULATION,18 - 19,45804
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,RURAL,MALE,CNIC OBTAINED,18 - 19,20219
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,RURAL,MALE,CNIC NOT OBTAINED,18 - 19,25585
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,RURAL,FEMALE,TOTAL POPULATION,18 - 19,45133
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,RURAL,FEMALE,CNIC OBTAINED,18 - 19,9512
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,RURAL,FEMALE,CNIC NOT OBTAINED,18 - 19,35621
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,RURAL,TRANSGENDER,TOTAL POPULATION,18 - 19,9
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,RURAL,TRANSGENDER,CNIC OBTAINED,18 - 19,3
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,RURAL,TRANSGENDER,CNIC NOT OBTAINED,18 - 19,6
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,RURAL,ALL SEXES,TOTAL POPULATION,20 - 24,207112
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,RURAL,ALL SEXES,CNIC OBTAINED,20 - 24,115561
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,RURAL,ALL SEXES,CNIC NOT OBTAINED,20 - 24,91551
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,RURAL,MALE,TOTAL POPULATION,20 - 24,99897
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,RURAL,MALE,CNIC OBTAINED,20 - 24,74081
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,RURAL,MALE,CNIC NOT OBTAINED,20 - 24,25816
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,RURAL,FEMALE,TOTAL POPULATION,20 - 24,107187
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,RURAL,FEMALE,CNIC OBTAINED,20 - 24,41468
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,RURAL,FEMALE,CNIC NOT OBTAINED,20 - 24,65719
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,RURAL,TRANSGENDER,TOTAL POPULATION,20 - 24,28
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,RURAL,TRANSGENDER,CNIC OBTAINED,20 - 24,12
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,RURAL,TRANSGENDER,CNIC NOT OBTAINED,20 - 24,16
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,RURAL,ALL SEXES,TOTAL POPULATION,25 - 29,182186
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,RURAL,ALL SEXES,CNIC OBTAINED,25 - 29,132461
